ID,Easting,Northing,Latitude(DDD.DDDDD),Longitude(DDD.DDDDD)
8182-8111,838254.2,817119.959,22.292993076,114.196148723
8212-8182,838886.659,817228.946,22.29397645,114.202286374
8978-896,834264.546,816083.739,22.283635349,114.157433837
8979-8978,834523.708,815916.074,22.282121509,114.159948796
9101-50108,839863.478,816886.033,22.290877968,114.211764862
30069-888301,834711.437,818893.39,22.309008699,114.161767523
33671-3363,839521.209,820694.514,22.325271539,114.208451228
33681-3643,839537.601,819872.588,22.317849031,114.208608654
33691-33671,839539.341,820612.792,22.324533507,114.208627057
33701-3369,839269.874,820683.627,22.325173681,114.206011656
34211-33681,839352.89,820107.684,22.319972429,114.206816328
34212-34213,838795.019,820547.703,22.323946972,114.201402324
34212-33701,839125.854,820681.893,22.325158268,114.204613742
34213-34222,837777.736,820479.786,22.323334837,114.191528223
34214-34211,838961.948,820481.832,22.323351864,114.203022473
34221-34214,838796.309,820560.136,22.324059247,114.201414865
34222-888241,837675.498,820244.302,22.321208364,114.190535669
34371-88821,837650.4,820182.864,22.320653563,114.190292012
34372-3450,837010.873,818912.021,22.309177485,114.184084134
34481-34371,837346.446,819464.44,22.314165984,114.187341332
34501-34481,837004.89,818935.405,22.30938866,114.184026079
34502-88812,836747.719,818732.879,22.307559819,114.181530102
34551-34554,836683.275,818691.309,22.307184433,114.180904652
34552-88803,836458.943,818526.587,22.305696933,114.178727462
34554-34501,836830.285,818807.735,22.308235788,114.182331444
34554-888302,836661.066,818660.839,22.306909276,114.180689103
34781-36662,835997.232,818679.961,22.307081984,114.174246521
34783-88805,836463.722,818544.811,22.305861507,114.178773845
34982-36661,836000.337,818685.152,22.307128863,114.174276655
35071-3488,836967.085,820564.744,22.32410258,114.183659887
35071-3505,836334.997,820230.44,22.32108376,114.17752464
36511-46502,839931.964,816756.4,22.289707157,114.212429154
36661-34783,836432.903,818548.685,22.305896494,114.178474746
36662-3498,835269.643,819039.869,22.310331906,114.167184961
36821-3491,835320.029,818933.626,22.309372496,114.167674037
36821-34982,835297.849,819038.497,22.310319532,114.167458711
46312-46319,836650.693,817917.971,22.300200725,114.180588253
46319-46512,836893.978,816083.846,22.283637359,114.182948525
46322-36511,841899.095,817854.503,22.299618396,114.231521884
46332-46522,834395.219,818269.104,22.303370703,114.158699276
46478-46479,836538.931,814955.598,22.273448651,114.179503134
46479-781,836585.353,815155.819,22.275256767,114.179953597
46488-762,836029.641,815629.493,22.279534361,114.174561499
46495-4649,838019.353,817012.047,22.292018819,114.193869616
46497-877,837626.399,816561.52,22.287950633,114.190055977
46498-4649,838010.672,817025.768,22.292142737,114.19378539
46499-811,838249.981,817134.408,22.293123564,114.196107799
50018-760,835602.186,815600.695,22.279274186,114.170413823
50019-50018,835747.625,815588.61,22.279165101,114.17182505
50045-50049,833323.351,816607.564,22.288364471,114.148299994
50048-893,832738.968,816762.428,22.289761895,114.142628904
50049-50048,833272.432,816617.227,22.288451647,114.147805867
50058-50045,833566.611,816541.012,22.287763863,114.150660658
50059-50058,833814.842,816458.312,22.2870174,114.153069563
50076-7881,836592.753,815897.731,22.281956706,114.180025551
50076-7883,836596.707,815890.625,22.281892533,114.180063917
50078-50079,836349.024,815690.857,22.280088531,114.177660544
50079-50076,836551.318,815844.419,22.281475272,114.179623482
50098-50099,836708.043,815420.557,22.277647494,114.181144122
50099-787,836656.904,815755.248,22.28066998,114.180647998
50106-8212,839401.015,817147.538,22.293240425,114.207277634
50107-50109,839875.054,816894.55,22.290954858,114.211877215
50108-50106,839816.873,816917.947,22.291166268,114.211312678
50109-910,840060.004,816792.63,22.290034059,114.213671729
50119-930,840495.49,816655.752,22.288796951,114.217897297
