ID,Easting,Northing,Latitude(DDD.DDDDD),Longitude(DDD.DDDDD)
8182-8111,838886.659,817228.946,22.29397645,114.202286374
8212-8182,839401.015,817147.538,22.293240425,114.207277634
8978-896,834523.708,815916.074,22.282121509,114.159948796
8979-8978,834575.127,815899.799,22.281974586,114.160447752
9101-50108,840052.115,816777.46,22.289897082,114.213595139
30069-888301,834823.46,818955.081,22.309565904,114.162854679
33671-3363,839539.341,820612.792,22.324533507,114.208627057
33681-3643,839352.89,820107.684,22.319972429,114.206816328
33691-33671,839284.825,820586.955,22.32430065,114.206156593
33701-3369,839125.854,820681.893,22.325158268,114.204613742
34211-33681,838961.948,820481.832,22.323351864,114.203022473
34212-34213,839032.263,820399.522,22.322608444,114.203704825
34212-33701,839032.263,820399.522,22.322608444,114.203704825
34213-34222,838795.019,820547.703,22.323946972,114.201402324
34214-34211,838796.309,820560.136,22.324059247,114.201414865
34221-34214,837768.505,820483.126,22.323365007,114.191438628
34222-888241,837777.736,820479.786,22.323334837,114.191528223
34371-88821,837346.446,819464.44,22.314165984,114.187341332
34372-3450,837354.848,819455.342,22.314083818,114.187422872
34481-34371,837004.89,818935.405,22.30938866,114.184026079
34501-34481,836830.285,818807.735,22.308235788,114.182331444
34502-88812,836989.173,818891.055,22.308988159,114.183873521
34551-34554,836573.237,818583.439,22.306210325,114.179836699
34552-88803,836588.377,818563.869,22.306033593,114.179983629
34554-34501,836683.275,818691.309,22.307184433,114.180904652
34554-888302,836683.275,818691.309,22.307184433,114.180904652
34781-36662,836398.307,818543.592,22.305850505,114.17813899
34783-88805,836432.903,818548.685,22.305896494,114.178474746
34982-36661,835297.849,819038.497,22.310319532,114.167458711
35071-3488,836398.278,820324.278,22.321931169,114.178138858
35071-3505,836398.278,820324.278,22.321931169,114.178138858
36511-46502,841899.095,817854.503,22.299618396,114.231521884
36661-34783,836000.337,818685.152,22.307128863,114.174276655
36662-3498,835997.232,818679.961,22.307081984,114.174246521
36821-3491,835268.36,819250.732,22.312236125,114.167172379
36821-34982,835268.36,819250.732,22.312236125,114.167172379
46312-46319,836633.89,818130.091,22.302116303,114.180425235
46319-46512,836650.693,817917.971,22.300200725,114.180588253
46322-36511,842034.07,817933.434,22.300330744,114.232832046
46332-46522,833112.038,816768.056,22.289813441,114.146249134
46478-46479,836600.096,814778.361,22.271848075,114.180096568
46479-781,836538.931,814955.598,22.273448651,114.179503134
46488-762,835804.774,815605.457,22.279317256,114.172379573
46495-4649,838048.299,817035.81,22.292233384,114.194150537
